TransactionId,CustomerId,GeoId,NumOfProducts,Balance,,,,
1,15634602,G001,1,0,,,,
2,15647311,G003,1,83807.86,,,,
3,15619304,G001,3,159660.8,,,,
4,15701354,G001,2,0,,,,
5,15737888,G003,1,125510.82,,,,
6,15574012,G003,2,113755.78,,,,
7,15592531,G001,2,0,,,,
8,15656148,G002,4,115046.74,,,,
9,15792365,G001,2,142051.07,,,,
10,15592389,G001,1,134603.88,,,,
11,15767821,G001,2,102016.72,,,,
12,15737173,G003,2,0,,,,
13,15632264,G001,2,0,,,,
14,15691483,G001,2,0,,,,
15,15600882,G003,2,0,,,,
16,15643966,G002,2,143129.41,,,,
17,15737452,G002,1,132602.88,,,,
18,15788218,G003,2,0,,,,
19,15661507,G003,1,0,,,,
20,15568982,G001,2,0,,,,
21,15577657,G001,2,0,,,,
22,15597945,G003,2,0,,,,
23,15699309,G003,1,0,,,,
24,15725737,G001,2,0,,,,
25,15625047,G001,1,0,,,,
26,15738191,G001,2,0,,,,
27,15736816,G002,1,136815.64,,,,
28,15700772,G001,2,0,,,,
29,15728693,G002,1,141349.43,,,,
30,15656300,G001,2,59697.17,,,,
31,15589475,G003,3,0,,,,
32,15706552,G001,1,85311.7,,,,
33,15750181,G002,2,110112.54,,,,
34,15659428,G003,2,0,,,,
35,15732963,G003,2,0,,,,
36,15794171,G001,1,134264.04,,,,
37,15788448,G003,1,145260.23,,,,
38,15729599,G003,1,76548.6,,,,
39,15717426,G001,1,0,,,,
40,15585768,G002,2,70349.48,,,,
41,15619360,G003,1,0,,,,
42,15738148,G001,1,122522.32,,,,
43,15687946,G001,1,117419.35,,,,
44,15755196,G001,1,131394.56,,,,
45,15684171,G003,1,155931.11,,,,
46,15754849,G002,2,109421.13,,,,
47,15602280,G002,1,112045.67,,,,
48,15771573,G002,1,137843.8,,,,
49,15766205,G002,1,103391.38,,,,
50,15771873,G002,2,103769.22,,,,
51,15616550,G002,2,116363.37,,,,
52,15768193,G002,2,146050.97,,,,
53,15683553,G001,2,0,,,,
54,15702298,G002,1,125561.97,,,,
55,15569590,G002,1,98495.72,,,,
56,15760861,G001,1,125211.92,,,,
57,15630053,G001,1,127864.4,,,,
58,15647091,G002,1,75888.2,,,,
59,15623944,G003,1,0,,,,
60,15804771,G001,1,40685.92,,,,
61,15651280,G002,1,136857,,,,
62,15773469,G002,2,152328.88,,,,
63,15702014,G003,2,56084.69,,,,
64,15751208,G003,1,78707.16,,,,
65,15592461,G002,1,109166.37,,,,
66,15789484,G002,2,169831.46,,,,
67,15696061,G002,1,101633.04,,,,
68,15641582,G002,2,123180.01,,,,
69,15638424,G002,2,150725.53,,,,
70,15755648,G001,1,98373.26,,,,
71,15703793,G002,4,133745.44,,,,
72,15620344,G001,1,0,,,,
73,15812518,G003,1,163607.18,,,,
74,15779052,G002,2,157780.84,,,,
75,15770811,G001,2,0,,,,
76,15780961,G001,2,178718.19,,,,
77,15614049,G001,2,0,,,,
78,15662085,G001,1,0,,,,
79,15575185,G003,1,77253.22,,,,
80,15803136,G002,2,122189.66,,,,
81,15706021,G001,2,96645.54,,,,
82,15663706,G001,1,0,,,,
83,15641732,G001,2,0,,,,
84,15701164,G001,1,90307.62,,,,
85,15738751,G001,2,0,,,,
86,15805254,G003,2,0,,,,
87,15762418,G003,1,121681.82,,,,
88,15625759,G001,2,0,,,,
89,15622897,G001,3,0,,,,
90,15767954,G002,2,81623.67,,,,
91,15757535,G003,3,0,,,,
92,15731511,G001,2,118626.55,,,,
93,15809248,G001,2,0,,,,
94,15640635,G001,2,0,,,,
95,15676966,G003,2,0,,,,
96,15699461,G003,1,176273.95,,,,
